Drug or Other Substance,CYP Strg INH,CYP Mod INH,CYP WK INH,CYP Strg IND,CYP Mod IND,CYP WK IND,CYP SENS SUB,CYP Mod SENS SUB,TRNSP INH,TRNSP SUB
grapefruit juice9, ,3A4  moderate  inhibitor, , , , , , , , 
ibrutinib, , , , , , ,3A4  sensitive  substrate, , , 
idelalisib,3A4  strong  inhibitor, , , , , , , , , 
imatinib, ,3A4  moderate  inhibitor, , , , , , , , 
imipramine, , , , , , , ,2D6  moderate sensitive  substrate, , 
indinavir and ritonavir,3A4  strong  inhibitor, , , , , , , , , 
indinavir6, , , , , , ,3A4  sensitive  substrate, , , 
isavuconazole, ,3A4  moderate  inhibitor, , , ,2B6  weak  inducer,3A4  sensitive  substrate, ,OCT2; MATE1; MATE2-K  inhibitor, 
istradefylline, , ,3A4  weak  inhibitor, , , , , , , 
itraconazole,3A4  strong  inhibitor, , , , , , , ,P-gp  inhibitor, 
ivabradine, , , , , , ,3A4  sensitive  substrate, , , 
ivacaftor, , ,3A4  weak inhibitor, , , , , , , 
ivosidenib10, , , ,3A4 strong inducer , , , , , , 
ketoconazole,3A4  strong  inhibitor, , , , , , , ,P-gp  inhibitor, 
labetalol, , ,2D6  weak  inhibitor, , , , , , , 
lansoprazole11, , , , , , , ,2C19  moderate sensitive  substrate, , 
lapatinib, , , , , , , , ,P-gp  inhibitor, 
lemborexant, , , , , ,2B6  weak  inducer,3A4  sensitive  substrate, , , 
lomitapide, , ,3A4  weak  inhibitor, , , ,3A4  sensitive  substrate, , , 
lopinavir and ritonavir,3A4  strong  inhibitor, , , , , , , ,P-gp; OATP1B1; OATP1B3   inhibitor, 
lorcaserin, ,2D6  moderate inhibitor, , , , , , , , 
lorlatinib, , , , ,3A4 moderate inducer,2B6; 2C9 weak inducer, , , , 
lovastatin, , , , , , ,3A4  sensitive  substrate, , ,OATP1B1  substrate
lumacaftor and ivacaftor, , , ,3A4  strong  inducer, , , , , , 
lurasidone, , , , , , ,3A4  sensitive  substrate, , , 
maraviroc, , , , , , ,3A4  sensitive  substrate, , , 
melatonin, , , , , , ,1A2  sensitive  substrate, , , 
metformin, , , , , , , , , ,MATE1; MATE2-K; OCT2  substrate
methotrexate, , , , , , , , , ,OAT3  substrate
methoxsalen, ,1A2  moderate inhibitor, , , , , , , , 
metoprolol, , , , , , , ,2D6  moderate sensitive  substrate, , 
mexiletine, ,1A2  moderate  inhibitor, , , , , , , , 
miconazole, ,2C9  moderate  inhibitor, , , , , , , , 
midazolam, , , , , , ,3A4  sensitive  substrate, , , 
mirabegron, ,2D6  moderate  inhibitor, , , , , , , , 
mitotane, , , ,3A4  strong  inducer, , , , , , 
mobocertinib, , , , , ,3A4  weak  inducer,3A4  sensitive  substrate, , , 
modafinil12, , , , , ,3A4  weak  inducer, , , , 
montelukast, , , , , , , ,2C8  moderate sensitive  substrate, , 
naloxegol, , , , , , ,3A4  sensitive  substrate, , , 
nebivolol, , , , , , ,2D6  sensitive  substrate, , , 
nefazodone,3A4  strong  inhibitor, , , , , , , , , 
nelfinavir,3A4  strong  inhibitor, , , , , , , , , 
nevirapine, , , , , ,2B6  weak  inducer, , , , 
nisoldipine, , , , , , ,3A4  sensitive  substrate, , , 
nortriptyline, , , , , , , ,2D6 moderate sensitive substrate, , 
omeprazole, , ,2C19  weak  inhibitor, , , ,2C19  sensitive  substrate, , , 
oral contraceptives, ,1A2  moderate  inhibitor, , , , , , , , 
oseltamivir carboxylate1, , , , , , , , , ,OAT3  substrate
paclitaxel, , , , , , , , , ,OATP1B1; OATP1B3  substrate
paritaprevir and ritonavir and (ombitasvir and/or dasabuvir),3A4  strong  inhibitor, , , , , , , , , 
paroxetine,2D6  strong  inhibitor, , , , , , , , , 
peginterferon alpha-2a, , ,1A2  weak  inhibitor, , , , , , , 
penicillin G, , , , , , , , , ,OAT3  substrate
perphenazine, , , , , , ,2D6  sensitive  substrate, , , 
pexidartinib, , , , ,3A4 moderate inducer, , , , , 
phenobarbital, , , , ,3A4  moderate  inducer, , , , , 
phenytoin, , , ,3A4  strong  inducer,1A2; 2C19  moderate  inducer, , ,2C9  moderate sensitive  substrate, , 
pimozide, , , , , , , ,3A4  moderate sensitive  substrate, , 
pioglitazone, , , , , , , ,2C8  moderate sensitive  substrate, , 
piperine, ,2C9  moderate  inhibitor,1A2  weak  inhibitor, , , , , , , 
pirfenidone, , , , , , , ,1A2  moderate sensitive  substrate, , 
pitavastatin, , , , , , , , , ,OATP1B1; OATP1B3  substrate
posaconazole,3A4  strong  inhibitor, , , , , , , , , 
pravastatin, , , , , , , , , ,OATP1B1; OATP1B3  substrate
primidone, , , , ,3A4  moderate  inducer, , , , , 
probenecid, , , , , , , , ,OAT1; OAT3  inhibitor, 
propafenone, , , , , , , ,2D6  moderate sensitive  substrate,P-gp  inhibitor, 
propranolol, , , , , , , ,2D6  moderate sensitive  substrate, , 
pyrimethamine, , , , , , , , ,MATE1; MATE2-K inhibitor, 
quetiapine, , , , , , ,3A4  sensitive substrate, , , 
quinidine,2D6  strong  inhibitor, , , , , , , ,P-gp  inhibitor, 
R-venlafaxine, , , , , , ,2D6  sensitive  substrate, , , 
rabeprazole, , , , , , , ,2C19  moderate sensitive  substrate, , 
ramelteon, , , , , , ,1A2  sensitive  substrate, , , 
ranitidine, , ,3A4  weak  inhibitor, , , , , , , 
ranolazine, , ,3A4  weak  inhibitor, , , , , ,P-gp ; OCT2; MATE1; MATE2-K    inhibitor, 
repaglinide, , , , , , ,2C8  sensitive  substrate, , ,OATP1B1; OATP1B3  substrate
rifampin, , , ,3A4; 2C19  strong  inducer,"1A2, 2B6; 2C8; 2C9  moderate  inducer", , , ,OATP1B113; OATP1B313  inhibitor, 
rilpivirine, , , , , , , ,3A4  moderate sensitive  substrate, , 
"ritonavir 14, 15, 16",3A4  strong  inhibitor, , , , ,2B6; 2C9; 2C19  weak  inducer, , , , 
rivaroxaban, , , , , , , ,3A4  moderate sensitive  substrate, , 
rolapitant17, ,2D6 moderate inhibitor, , , , , , ,BCRP inhibitor, 
rosiglitazone, , , , , , , ,2C8  moderate sensitive  substrate, , 
rosuvastatin, , , , , , , , , ,BCRP; OATP1B1; OATP1B3   substrate
rufinamide, , , , , ,3A4  weak  inducer, , , , 
S-mephenytoin, , , , , , ,2C19  sensitive  substrate, , , 
S-venlafaxine, , , , , , , ,2D6  moderate sensitive  substrate, , 
saquinavir and ritonavir,3A4  strong  inhibitor, , , , , , , ,P-gp  inhibitor, 
saquinavir6, , , , , , ,3A4  sensitive  substrate, , , 
sertraline, , ,2D6  weak  inhibitor, , , , , , , 
sildenafil, , , , , , ,3A4  sensitive  substrate, , , 
simvastatin, , , , , , ,3A4  sensitive  substrate, , ,OATP1B1; OATP1B3  substrate
sirolimus, , , , , , ,3A4  sensitive  substrate, , , 
Sofosbuvir and Velpatasvir and Voxilaprevir, , , , , , , , ,P-gp; BCRP;  OATP1B1; OATP1B3 inhibitor, 
sotorasib, , , , ,3A4 moderate inducer, , , , , 
St. John’s wort18, , , ,3A4  strong  inducer, , , , , , 
sulfasalazine, , , , , , , , , ,BCRP  substrate
tacrolimus, , , , , , ,3A4  sensitive  substrate, , , 
tadalafil, , , , , , , ,3A4  moderate sensitive  substrate, , 
tasimelteon, , , , , , ,1A2  sensitive  substrate, , , 
telithromycin,3A4  strong  inhibitor, , , , , , , , , 
tenofovir1, , ,2B6  weak  inhibitor, , , , , , ,OAT1  substrate
terbinafine,2D6  strong  inhibitor, , , , , , , , , 
teriflunomide, ,2C8  moderate  inhibitor, , ,1A2  moderate  inducer, , , ,BCRP;  OATP1B1 inhibitor; OAT3 inhibitor, 
theophylline, , , , , , , ,1A2  moderate sensitive  substrate, , 
ticagrelor, , ,3A4  weak  inhibitor, , , ,3A4  sensitive  substrate   , , , 
ticlopidine,2C19  strong  inhibitor, ,2B6  weak  inhibitor, , , , , , , 
tipranavir and ritonavir,3A4  strong  inhibitor, , , , , , , , , 
tipranavir6, , , , , , ,3A4  sensitive  substrate, , , 
tizanidine, , , , , , ,1A2  sensitive  substrate, , , 
tobacco (smoking), , , , ,1A2  moderate  inducer, , , , , 
tolbutamide, , , , , , , ,2C9  moderate sensitive  substrate, , 
tolterodine, , , , , , ,2D6  sensitive  substrate, , , 
tolvaptan, , , , , , ,3A4  sensitive  substrate, , , 
tramadol, , , , , , , ,2D6  moderate sensitive  substrate, , 
triazolam, , , , , , ,3A4  sensitive  substrate, , , 
trimethoprim, , ,2C8  weak  inhibitor, , , , , ,MATE1; MATE2-K  inhibitor, 
trimipramine, , , , , , , ,2D6  moderate sensitive  substrate, , 
vandetanib, , , , , , , , ,MATE1; MATE2-K  inhibitor, 
vardenafil, , , , , , ,3A4  sensitive  substrate, , , 
vemurafenib, ,1A2 moderate inhibitor,2D6  weak  inhibitor, , ,3A4  weak  inducer, , , , 
venetoclax, , , , , , ,3A4  sensitive  substrate, , , 
verapamil, ,3A4  moderate  inhibitor, , , , , , ,P-gp  inhibitor, 
voriconazole,3A4  strong  inhibitor,2C19  moderate inhibitor,2B6; 2C9;  weak inhibitor, , , , ,2C19 moderate sensitive substrate, , 
warfarin19, , , , , , , ,2C9  moderate sensitive substrate, , 
zanubrutinib, , , , , ,3A4  weak  inducer, , , , 
zileuton, , , 1A2 weak  inhibitor, , , , , , , 
